Panel,Pico5,Pico10,Pico15,Pico20,Pico30,Pico40,Pico50,Pico60,Pico90,Pico120,Pico150,Pico180,Pedino5,Pedino10,Pedino15,Pedino20,Pedino30,Pedino40,Pedino50,Pedino60,Pedino90,Pedino120,Pedino150,Pedino180
FC_01,0.3,10.5,12.3,18.1,25.5,31,34.3,38.9,49.8,60.9,67.2,70.3,-2.3,3.7,6.1,12.4,17.3,29.2,31.4,33.7,48.5,56.7,61.6,67.9
FC_02,11.8,8.7,16.5,18,28.4,25.7,32.9,39.1,51.5,62.1,61.5,75.6,8.6,12.4,19.2,24.3,30.9,42.3,47.5,54,72.9,78.3,79.9,84.7
FC_03,0.5,-1.9,0.8,4.4,21.9,31.7,30.4,36.4,50,59.1,55.5,57.7,7,6.5,13.2,13.5,29.6,30,34.3,46.4,51.2,64.7,73.7,76.2
HI_02,31.5,51.9,71.7,76.5,90.1,95,94.2,97.1,99.1,97.1,97.1,97.6,25.2,42.2,59.3,72.4,83.6,90.6,95,96.8,98.4,97.3,98.3,97.7
HI_03,17,43.2,47.7,57.5,78.5,85.9,88.4,92.4,95.2,95.4,98.4,98.8,19.2,45,47.9,59.4,79.7,85.6,90.9,94.5,97.4,97.9,99.1,98.4
HI_04,13.5,35.2,57.3,68.6,74.6,88.7,90.6,89.6,90.7,91.7,93.7,93.9,19.5,39.3,51.4,61.1,76.8,83.9,88.9,90,95.6,97.5,96.1,97.1
ID_01,10.3,6.9,2.9,31.2,55.5,45.1,59,68.3,76.7,84.1,89.7,92.2,11,14.6,22.7,25.5,46.4,45.5,58,61.5,76.7,83.6,90.7,93.4
ID_03,35.2,68.2,75.7,86.5,91.9,96.1,96.7,98.7,98.1,96.7,98.1,98.7,28.4,51.6,67.4,76.6,86.7,92.6,95.7,97.6,98.2,97.7,98.5,99.3
IRL3_01,7.7,3.1,8.1,12.2,9.8,14.2,26.7,16.5,25.8,34.8,27.2,34.9,4.3,7.4,12.7,15.9,15.5,27.5,28.5,38.1,46.7,52,56.3,60.1
IRL3_02,3.7,13.2,0.9,9.2,13.1,15.2,21.8,23.5,26.4,33.8,33.8,46,-4,-6.1,9.8,17.3,34.8,42.1,60.3,75.2,66.7,73.8,77,84.7
IRL3_03,2,5.8,9.9,9,12.8,15.5,19.2,19.2,24.7,37.5,38.2,48.8,-0.7,6.2,11.5,14.3,20.6,21.5,27.9,46.5,47,57.1,61.3,69.7
IRL3_04,-9.6,-3.3,-12.7,0.1,-4.4,4.5,9.9,14.2,32.2,40.8,42.5,50.1,6.1,13.3,25.9,34.2,40.2,48.3,60.3,62.9,77,87.7,89.5,91.7
MIM_01,6.6,1.3,10.9,16,12.6,23.1,24.1,20.3,26.8,32,28.8,42.3,5.3,6.4,6.9,7.9,6.9,12,14.7,14.7,20.6,28.7,25.8,47.9
MIM_02,10.9,7.6,0.8,0,8.1,7.7,7.6,10.6,18.1,22.3,21.1,27.4,3.8,4.8,7.3,10.9,7.1,5.9,10.4,17.2,23.7,21.3,15.7,28.7
MO_01,15.3,26.3,41.1,51.4,66.5,74.2,78,83.2,89.5,91.8,91.8,91.7,13.9,23.8,30,39.6,54,65.3,72.4,77.3,85.8,90.2,91.2,92.1
MO_02,13.7,28,44.5,57.8,66.5,80.3,79.8,85.8,90.7,92.6,94,95.6,10.3,23.1,35.3,42.7,56.1,71.5,73,79.4,88,90.5,94.4,94.2
MO_03,0.3,13.9,35.6,38.4,62.6,67.2,75.2,81.4,89.4,92.3,92.8,94.7,4.9,14.5,24.9,32.8,48.6,60.7,67.4,75.3,90.7,93.2,93.4,94
SCD_01,3.7,9.5,8.7,8.3,14.1,11.3,12.7,19.3,17.5,21.5,23,28.3,3.7,0.8,3.7,11.9,13.6,18.5,19.4,28.4,40.1,48.1,54.4,60.3
SCD_02,3.9,5.1,3.9,6,10.9,9.6,12.7,14.3,20.8,24.4,32.5,31.2,29.4,27.6,28.9,34.4,35.5,42.6,45.2,45.6,57.5,60,64.6,64.5
SCD_03,-0.5,-8.7,-9.9,-14.4,-8.9,-6.7,-0.7,3.3,15,17.8,12.5,23.8,7,16,15.3,20.8,25.7,34.9,33.8,41.9,58,62.5,72,76.4
SMS_01,7.5,25.7,38.5,43.4,51,69.5,86.2,88.9,92.8,96,94.8,95.5,11.7,24.7,35.3,44.6,60.2,72,82.3,87.2,94.7,96.7,97,97.5
SMS_03,8.4,7,20.7,21.1,39.1,47.8,57.9,62.8,77.5,84.1,89.8,92.7,-0.3,12.9,17.7,23.1,36.3,49.6,61.3,68.6,82.8,89.1,92.9,94.9
WP_01,4,2.8,6,6.2,14.2,16.6,23.5,25.3,38.3,43.2,42.2,45.3,3.7,5.3,4.5,6.9,9.4,9.6,11.2,23.2,25.1,35.1,33,36.1
WP_03,0.6,5.9,9.1,16.4,10.6,12.1,15,15.5,21.6,30.2,31.9,22.9,4.2,3.2,7.3,6.5,8.6,12.2,13.2,14.9,21.6,24.3,33.1,31
WP_04,4.1,4.8,4.8,12.6,13,12,17.5,19.5,34.2,36.3,34.3,35.3,2.8,3.9,8,9,9.7,10.8,13.6,13.2,18.3,27.1,26.4,36.2
Control 1,2.9,3.1,6.1,1.5,-1.3,3,8.5,10.1,17.1,18.6,14.3,17.7,-3.9,0.9,-2.1,-6.4,-6.1,9.5,3,0.9,8.5,9.1,9.3,8.2
Control 2,1.1,-0.1,1.5,3.4,-2,11.9,14.7,11.8,6.8,19.4,25,22.8,-6.8,3.8,-0.4,-1.2,-5.6,-1.1,3,1.9,3.9,4.2,9.7,9.4
Control 3,-12.6,-4.1,-2.4,7,4.2,14.3,-11.7,-17.2,-6.6,-0.9,4,-2.2,0.2,3.4,3.8,-5.5,0.5,19.2,18.8,16.8,17.3,20.1,11.9,8.9